part_number,description
8RX5/8THAS,8RX5/8THAS - #8 Phillips Head
8RX5/8THBS,8RX5/8THBS - #8 Phillips Head
A1348-8Z-1,A1348-8Z-1 - #8 U Type
A1778-8Z-1,A1778-8Z-1 - #8 Flat Type
A1784-6Z-1,A1784-6Z-1 - #6 U Type
A1789-8Z-1,A1789-8Z-1 - #8 U Type
AN3-10,AN3-10 - 5/8 Grip 1-1/32 Length
AN3-10A,AN3-10A - 5/8 Grip 1-1/32 Length
AN3-11,AN3-11 - 3/4 Grip 1-5/32 Length
AN3-11A,AN3-11A - 3/4 Grip 1-5/32 Length
AN3-12,AN3-12 - 7/8 Grip 1-9/32 Length
AN3-12A,AN3-12A - 7/8 Grip 1-9/32 Length
AN3-13,AN3-13 - 1 Grip 1-13/32 Length
AN3-13A,AN3-13A - 1 Grip 1-13/32 Length
AN3-14,AN3-14 - 1-1/8 Grip 1-17/32 Length
AN3-14A,AN3-14A - 1-1/8 Grip 1-17/32 Length
AN3-15,AN3-15 - 1-1/4 Grip 1-21/32 Length
AN3-15A,AN3-15A - 1-1/4 Grip 1-21/32 Length
AN3-16,AN3-16 - 1-3/8 Grip 1-25/32 Length
AN3-16A,AN3-16A - 1-3/8 Grip 1-25/32 Length
AN3-17,AN3-17 - 1-1/2 Grip 1-29/32 Length
AN3-17A,AN3-17A - 1-1/2 Grip 1-29/32 Length
AN3-20,AN3-20 - 1-5/8 Grip 2-1/32 Length
AN3-20A,AN3-20A - 1-5/8 Grip 2-1/32 Length
AN3-21,AN3-21 - 1-3/34 Grip 2-5/32 Length
AN3-21A,AN3-21A - 1-3/34 Grip 2-5/32 Length
AN3-22,AN3-22 - 1-7/8 Grip 2-9/32 Length
AN3-22A,AN3-22A - 1-7/8 Grip 2-9/32 Length
AN3-23,AN3-23 - 2 Grip 2-13/32 Length
AN3-23A,AN3-23A - 2 Grip 2-13/32 Length
AN3-24,AN3-24 - 2-1/8 Grip 2-17/32 Length
AN3-24A,AN3-24A - 2-1/8 Grip 2-17/32 Length
AN3-25,AN3-25 - 2-1/4 Grip 2-21/32 Length
AN3-25A,AN3-25A - 2-1/4 Grip 2-21/32 Length
AN3-26,AN3-26 - 2-3/8 Grip 2-25/32 Length
AN3-26A,AN3-26A - 2-3/8 Grip 2-25/32 Length
AN3-27,AN3-27 - 2-1/2 Grip 2-29/32 Length
AN3-27A,AN3-27A - 2-1/2 Grip 2-29/32 Length
AN3-3,AN3-3 - 1/16 Grip 15/32 Length
AN3-30,AN3-30 - 2-5/8 Grip 3-1/32 Length
AN3-30A,AN3-30A - 2-5/8 Grip 3-1/32 Length
AN3-31,AN3-31 - 2-3/4 Grip 3-5/32 Length
AN3-31A,AN3-31A - 2-3/4 Grip 3-5/32 Length
AN3-32,AN3-32 - 2-7/8 Grip 3-9/32 Length
AN3-32A,AN3-32A - 2-7/8 Grip 3-9/32 Length
AN3-3A,AN3-3A - 1/16 Grip 15/32 Length
AN3-4,AN3-4 - 1/8 Grip 17/32 Length
AN3-4A,AN3-4A - 1/8 Grip 17/32 Length
AN3-5,AN3-5 - 1/4 Grip 21/32 Length
AN3-5A,AN3-5A - 1/4 Grip 21/32 Length
AN3-6,AN3-6 - 3/8 Grip 25/32 Length
