part_number,description
MS20470AD4-12,MS20470AD4-12 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD4-14,MS20470AD4-14 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD4-16,MS20470AD4-16 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD4-3,MS20470AD4-3 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD4-4,MS20470AD4-4 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD4-5,MS20470AD4-5 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD4-6,MS20470AD4-6 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD4-8,MS20470AD4-8 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD5-10,MS20470AD5-10 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD5-12,MS20470AD5-12 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD5-14,MS20470AD5-14 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD5-16,MS20470AD5-16 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD5-4,MS20470AD5-4 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD5-5,MS20470AD5-5 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD5-6,MS20470AD5-6 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD5-7,MS20470AD5-7 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD5-8,MS20470AD5-8 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS20470AD6-12,MS20470AD6-12 - Universal Head Rivet Package - 1 Pound per Unit Ordered
MS21042-3,MS21042-3 - #10-32
MS21042-4,MS21042-4 - 1/4/2028
MS21042-5,MS21042-5 - 5/16/2024
MS21044C06,MS21044C06 - Stainless Nylon Insert Locknut #6-32
MS21044C08,MS21044C08 - Stainless Nylon Insert Locknut #8-32
MS21044C3,MS21044C3 - Stainless Nylon Insert Locknut #10-32
MS21044C4,MS21044C4 - Stainless Nylon Insert Locknut 1/4-28
MS21044N04,MS21044N04 - AN365-440A Standard Locknut #4-40
MS21044N06,MS21044N06 - AN365-632A Standard Locknut #6-32
MS21044N08,MS21044N08 - N
MS21044N3,MS21044N3 - AN365-1032A Standard Locknut #10-32
MS21044N4,MS21044N4 - AN365-428A Standard Locknut 1/4-28
MS21044N5,MS21044N5 - AN365-524A Standard Locknut 5/16-24
MS21045-3,MS21045-3 - NAS1021 Steel All Metal Locknut #10-32
MS21045-4,MS21045-4 - NAS1021 Steel All Metal Locknut #10-32
MS21045-5,MS21045-5 - ALT AN363-524
MS21059L3,MS21059L3 - #10-32 Floating Two Lug AllMetal
MS21083N04,MS21083N04 - AN364-440A Thin Locknut #4-40
MS21083N06,MS21083N06 - AN364-632A Thin Locknut #6-32
MS21083N08,MS21083N08 - AN364-832A Thin Locknut #8-32
MS21083N3,MS21083N3 - AN364-1032A Thin Locknut #10-32
MS21083N4,MS21083N4 - AN364-428A Thin Locknut 1/4-28
MS21207-10-10,"MS21207-10-10 - Tapping Screw - Diameter: #10 Length: 5/8"""
MS21207-8-8,"MS21207-8-8 - Tapping Screw - Diameter: #8 Length: 1/2"""
MS24665-132,MS24665-132 - Diameter 1/16 (.031) Steel
MS24665-136,MS24665-136 - Diameter 1/16 (.031)
MS24665-140,MS24665-140 - Diameter 1/16 (.031)
MS24665-143,MS24665-143 - Diameter 1/16 (.031)
MS24665-153,MS24665-153 - Diameter 1/16 (.031)
MS24665-24,MS24665-24 - Diameter 1/32 (.031)
MS24665-281,MS24665-281 - Diameter 3/32 (.094)
MS24665-285,MS24665-285 - Diameter 3/32 (.094)
MS24665-289,MS24665-289 - Diameter 3/32 (.094)
MS24665-292,MS24665-292 - Diameter 3/32 (.094)
MS24665-302,MS24665-302 - Diameter 3/32 (.094)
MS24665-353,MS24665-353 - Diameter 1/8 (.125)
MS24665-357,MS24665-357 - Diameter 1/8 (.125)
MS24665-360,MS24665-360 - Diameter 1/8 (.125)
MS24665-428,MS24665-428 - Diamater 5/32 (.156)
MS24665-5,MS24665-5 - Diameter 1/32 (.031)
MS24693-C26,MS24693-C26 - #6-32 Phillips Flush Head Screw - Stainless
MS24693-C270,MS24693-C270 - #10-32 Phillips Flush Head Screw - Stainless
MS24693-C271,MS24693-C271 - #10-32 Phillips Flush Head Screw - Stainless
MS24693-C272,MS24693-C272 - #4-40 Flat Head Phillips
MS24693-C273,MS24693-C273 - #10-32 Phillips Flush Head Screw - Stainless
MS24693-C274,MS24693-C274 - #10-32 Phillips Flush Head Screw - Stainless
MS24693-C275,MS24693-C275 - #10-32 Phillips Flush Head Screw - Stainless
MS24693-C276,MS24693-C276 - #10-32 Phillips Flush Head Screw - Stainless
MS24693-C28,MS24693-C28 - #6-32 Phillips Flush Head Screw - Stainless
MS24693-C29,MS24693-C29 - #6-32 Phillips Flush Head Screw - Stainless
MS24693-C292,MS24693-C292 - 1/4-28 Phillips Flush Head Screw - Stainless
MS24693-C293,MS24693-C293 - 1/4-28 Phillips Flush Head Screw - Stainless
MS24693-C3,MS24693-C3 - #4-40 Phillips Flush Head Screw - Stainless
MS24693-C30,MS24693-C30 - #6-32 Phillips Flush Head Screw - Stainless
MS24693-C4,MS24693-C4 - #4-40 Phillips Flush Head Screw - Stainless
MS24693-C48,MS24693-C48 - #8-32 Phillips Flush Head Screw - Stainless
MS24693-C49,MS24693-C49 - #8-32 Phillips Flush Head Screw - Stainless
MS24693-C50,MS24693-C50 - #8-32 Phillips Flush Head Screw - Stainless
MS24693-C51,MS24693-C51 - #8-32 Phillips Flush Head Screw - Stainless
MS24693-C52,MS24693-C52 - #8-32 Phillips Flush Head Screw - Stainless
MS24693-C6,MS24693-C6 - #4-40 Phillips Flush Head Screw - Stainless
MS24693-S26,MS24693-S26 - #6-32 Phillips Flush Head Screw - Steel
MS24693-S270,MS24693-S270 - #10-32 Phillips Flush Head Screw - Steel
MS24693-S272,MS24693-S272 - #10-32 Phillips Flush Head Screw - Steel
MS24693-S273,MS24693-S273 - #10-32 Phillips Flush Head Screw - Steel
MS24693-S274,MS24693-S274 - #10-32 Phillips Flush Head Screw - Steel
MS24693-S28,MS24693-S28 - #6-32 Phillips Flush Head Screw - Steel
MS24693-S29,MS24693-S29 - #6-32 Phillips Flush Head Screw - Steel
MS24693-S294,MS24693-S294 - 1/4-28 Phillips Flush Head Screw - Steel
MS24693-S3,MS24693-S3 - #4-40 Phillips Flush Head Screw - Steel
