kit_part_number,component_part_number,line_number,qty_per_kit,uom
BM-C2,SK-R4GS,4,22,ea
BM-C2,SK2600-5SW,5,1,ea
BM-C2,SK2600-LWS,6,1,ea
BM-C2P,SK40S5-7S,1,22,ea
BM-C2P,SK40S5-10S,2,2,ea
BM-C2P,SK-OS,3,22,ea
BM-C2P,SK-R4GS,4,22,ea
C-120/140,AN526C832R8,1,10,ea
C-120/140,AN526C632R8,2,86,ea
C-120/140,MS24693-C28,3,10,ea
C-120/140,8RX1/2FHBS100,4,21,ea
C-120/140,6RX1/2THBS,5,25,ea
C-120/140,8RX1/2THBS,6,200,ea
C-120/140,10RX1/2THBS,7,80,ea
C-120/140,NAS1515-H-08L,8,35,ea
C-120/140,DP1080-17SS,9,18,ea
