so_number,kit_part_number,qty_ordered,qty_shipped,invoice_numbers
13348,KA90-NP1,1,1,13348
13351,C-150/152,1,1,13351
13351,C150-FTLR,1,1,13351
13351,C152-C2P,1,1,13351
13365,PA30-2701P,1,1,13365
13365,PA30-2702P,1,1,13365
13381,SKN4-4S SET,20,20,13381
13383,RV1014J-C1P,1,1,13383
13386,SK28S3-SET1,22,22,13386
13388,SK203C150P4D,1,0,
13399,SK28S3-SET1,6,6,13399
13401,SK26S51-SET1,4,4,13401
13401,SK40S5-SET1,2,2,13401
13411,C172C2800P,1,1,13411
13412,B35LC5100,1,1,"13412, 13412, 02"
13412,B35UC40P,2,2,"13412, 13412, 02"
13413,C150-C1P,2,2,"13413, 13413, 02"
13413,C180-C1P,2,2,"13413, 13413, 02"
13413,RV-OD2,10,10,"13413, 13413, 02"
13413,RV1014J-C1P,1,1,"13413, 13413, 02"
13413,SK203C172P-FW4,1,1,"13413, 13413, 02"
13421,M20-C6AP,1,1,13421
13429,C172C2800P,1,1,13429
13438,C182-C3P,1,1,13438
13439,C152-C1P,1,1,13439
13446,SK203C182P4,1,0,
13459,C100-EPD1P,1,1,13459
13459,C182-C3P,1,1,13459
13460,SK203C172P-FW4,1,1,13460
13476,C172-C1P,1,1,13476
13483,B55-AS1,1,1,13483
13483,B55-BD,1,1,13483
13483,B55-EPD,1,1,13483
13483,B55-NC,1,1,13483
13483,B55-NP1,1,1,13483
13483,B55-RAD,1,1,13483
13487,B55-AS1,1,1,13487
13490,B35LC5080,1,1,13490
13492,PA34-OPTIONS-1P,1,1,13492
13496,RV1014J-C1P-F,1,1,13496
13499,RV1014J-C1P-UF,1,1,13499
13501,RV1014J-C1P-UF,1,0,
13503,RV-OD2,1,1,13503
13503,RV1014J-C1P,1,1,13503
13504,RV1014J-C1P-S,1,1,13504
13529,RV679J-C1P-S,1,1,13529
13531,SK203C182P-FW4,1,1,13531
13537,RV-OD2,1,1,13537
13542,M20-C5P,1,1,13542
13547,SK203C172P4,1,1,"13547, 13547, 02"
13548,SK203C172P-RET,1,1,13548
13550,SK203C177P4,1,1,"13550, 13550, 02"
13551,C182-C4P,3,3,13551
13551,RV1014J-C1P,1,1,13551
13551,RV679J-C1P-UF,1,1,13551
13553,SK203C172P4,1,1,13553
13558,SK203C182P4,1,1,13558
13564,C152-C1P,1,1,13564
13565,RV679J-C1P-UF,1,1,13565
13575,C182-C6P,1,1,13575
13577,SK203C150P4,1,1,13577
13586,SK203C182P4,1,1,13586
13592,PA34-C2P,1,1,13592
13606,RV-OD1,1,1,13606
13606,RV679J-C1P-U,1,1,13606
13606,SK4002-TS2,1,1,13606
13608,C182-C2P,1,1,13608
13642,RV1014-C1P-S,1,1,13642
13645,RV1014J-C1P-UF,1,1,13645
13664,SKN4-3S SET,40,40,13664
13671,SK4P3-T26,1,1,13671
13682,SK203C182P-FW4,1,1,13682
13686,PA23-C2P,1,1,13686
13706,C100-EAD4,4,4,"13706, 13706, 02"
13706,SK203C150P4D,1,1,"13706, 13706, 02"
13708,B35LC5100,1,1,"13708, 13708, 02"
13708,SK203C150P4,2,2,"13708, 13708, 02"
13708,SK4P3-T26,2,2,"13708, 13708, 02"
13715,SK203C150P-FW4,1,1,13715
13721,SK203C172P-FW4,1,1,13721
13721,SK203C172P4,5,5,13721
13721,SK203C177P4,1,1,13721
